Time,Data
2023-09-27T04:18:00,2.2
2023-09-27T04:20:00,2.04
2023-09-27T04:22:00,2.142
2023-09-27T04:24:00,1.7
2023-09-27T04:26:00,2.81
2023-09-27T04:28:00,2.263
2023-09-27T04:30:00,2.33
2023-09-27T04:32:00,2.052
2023-09-27T04:34:00,2.85
2023-09-27T04:36:00,2.071
2023-09-27T04:38:00,2.2
2023-09-27T04:40:00,1.692
2023-09-27T04:42:00,2.88
2023-09-27T04:44:00,2.75
2023-09-27T04:46:00,2.69
2023-09-27T04:48:00,3.32
2023-09-27T04:50:00,2.583
2023-09-27T04:52:00,3.022
2023-09-27T04:54:00,2.671
2023-09-27T04:56:00,2.36
2023-09-27T04:58:00,1.964
2023-09-27T05:00:00,2.97
2023-09-27T05:02:00,3.0
2023-09-27T05:04:00,2.513
2023-09-27T05:06:00,3.9
2023-09-27T05:08:00,4.35
2023-09-27T05:10:00,3.69
2023-09-27T05:12:00,2.84
2023-09-27T05:14:00,3.56
2023-09-27T05:16:00,3.78
2023-09-27T05:18:00,2.773
2023-09-27T05:20:00,3.242
2023-09-27T05:22:00,3.661
2023-09-27T05:24:00,3.623
2023-09-27T05:26:00,2.78
2023-09-27T05:28:00,2.74
2023-09-27T05:30:00,2.712
2023-09-27T05:32:00,2.621
2023-09-27T05:34:00,3.134
2023-09-27T05:36:00,2.57
2023-09-27T05:38:00,2.601
2023-09-27T05:40:00,2.44
2023-09-27T05:42:00,3.473
2023-09-27T05:44:00,2.76
2023-09-27T05:46:00,2.55
2023-09-27T05:48:00,3.142
2023-09-27T05:50:00,2.61
2023-09-27T05:52:00,2.953
2023-09-27T05:54:00,2.133
2023-09-27T05:56:00,2.59
2023-09-27T05:58:00,2.582
2023-09-27T06:00:00,1.81
2023-09-27T06:02:00,1.49
2023-09-27T06:04:00,0.3031
2023-09-27T06:06:00,-0.111
2023-09-27T06:08:00,-1.574
2023-09-27T06:10:00,-1.39
2023-09-27T06:12:00,-1.53
2023-09-27T06:14:00,-1.69
2023-09-27T06:16:00,-2.7
2023-09-27T06:18:00,-2.69
2023-09-27T06:20:00,-1.11
2023-09-27T06:22:00,-1.24
2023-09-27T06:24:00,-0.553
2023-09-27T06:26:00,-0.45
2023-09-27T06:28:00,0.4761
2023-09-27T06:30:00,0.321
2023-09-27T06:32:00,1.38
2023-09-27T06:34:00,1.331
2023-09-27T06:36:00,2.051
2023-09-27T06:38:00,1.96
2023-09-27T06:40:00,1.86
2023-09-27T06:42:00,2.14
2023-09-27T06:44:00,1.731
2023-09-27T06:46:00,2.01
2023-09-27T06:48:00,2.71
2023-09-27T06:50:00,3.04
2023-09-27T06:52:00,1.464
2023-09-27T06:54:00,2.96
2023-09-27T06:56:00,2.572
2023-09-27T06:58:00,1.842
2023-09-27T07:00:00,2.964
2023-09-27T07:02:00,2.86
2023-09-27T07:04:00,2.752
2023-09-27T07:06:00,1.854
2023-09-27T07:08:00,2.103
2023-09-27T07:10:00,2.644
2023-09-27T07:12:00,3.28
2023-09-27T07:14:00,3.22
2023-09-27T07:16:00,4.27
2023-09-27T07:18:00,4.56
2023-09-27T07:20:00,6.31
2023-09-27T07:22:00,7.15
2023-09-27T07:24:00,7.753
2023-09-27T07:26:00,9.23
